sentence,processing_sentence
차리셋건고객요청사항리셋접수시간수신불회선단말특이사항진단결과기타추가연락처,차 리셋 건 고객 요청사항리셋 접수 시간 수신 불회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항임의다시보기안됨연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의 다시 보기 안됨 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
 서비스번고객명  연락처요청자  불만내용 요구사항   수시 시청중 화면에 노이즈 발생됨 받아도 개선되지 않음  일부채널만 그렇기도하고 랜덤으로 수시로  발생됨에 대한 강성민원 노이즈 발생되는 시점이 넷플릭스 서비스 들어가는 시점부터 그런것같다고 함  책임자랑 통화를 요청하심,서비스 번 고객 명 연락처 요청자 불만 내용 요구 사항 수시 시청 중 화면에 노이즈 발생됨 받아도 개선되지 않음 일부 채널만 그렇기도 하고 랜덤으로 수시로 발생됨에 대한 강성 민원 노이즈 발생되는 시점이 넷플릭스 서비스 들어가는 시점부터 그런 것 같다고 함 책임자랑 통화를 요청하심
고객요청사항외부신고채널이 한채널만 나옴다른 채널은 안나옴방문점검요청회선단말특이사항진단결과정상기타추가연락처코로나안내유료화안내,고객 요청사항 외부 신고 채널이 한 채널만 나옴 다른 채널은 안 나옴 방문 점검 요청 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처 코로나 안내 유료화 안내
기가지니 음성으로 티비 전원제어 안됨월일 개통처음부터 안되었다하심현재 외부라 티비 설정등 확인할수 없어 접수 연후방,기가 지니 음성으로 티브이 전원제어 안됨 월일 개통 처음부터 안 되었다 하심 현재 외부라 티브이 설정 등 확인할 수 없어 접수 연후방
고객요청사항 리모컨 작동불  정상페어링시도시 연결중에서 멈춰있음  리셋시  는 켜져 있으나  수신 안됨 재 리셋후 확인 정상  수신되고 리모컨 사용됨 평소에도  전원 안켜지는 증상 시시 발생 이상 점검 요청 인터넷 가입권유 실패회선단말특이사항진단결과기타추가연락처 연락후 방문 요청코로나 이상무,고객 요청사항 리모컨 작동 불 정상 페어링 시 도시 연결 중에서 멈춰 있음 리셋 시는 켜져 있으나 수신 안됨 재 리셋 후 확인 정상 수신되고 리모컨 사용됨 평소에도 전원 안 켜지는 증상 시시 발생 이상 점검 요청 인터넷 가입 권유 실패 회선 단말 특이사항 진단 결과 기타 추가 연락처 연락 후 방문 요청 코로나 이 상무
코로나이상무재확인필  오류 페어링도 안됨 문제인지 리모컨 문제인지 확인요망 회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 오류 페어링도 안됨 문제인지 리모컨 문제인지 확인 요망 회선 단말 특이사항 진단 결과 기타 추가 연락처
수신불 로딩중상태 ,수신 불 로딩 중 상태
멀고객요청사항수신불회선단말특이사항진단결과기타추가연락처사업장시간빠르게요청,멀고 객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 사업장 시간 빠르게 요청
고객요청사항리모컨작동불 발송 연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불 발송 연후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
리모컨전원버튼빼고나머지안됨 건전지교체해봄전원선재연결후잘됨,리모컨 전원 버튼 빼고 나머지 안됨 건전지 교체해 봄 전원 선재 연결 후 잘 됨
고객요청사항화질이상깜박임회선단말특이사항진단결과기타추가연락처,고객 요청사항 화질 이상 깜박 김회선 단말 특이사항 진단 결과 기타 추가 연락처
인공청안나옴고객측수리의뢰,인공 철 안 나옴 고객 측 수리 의뢰
코로나 이상무고객요청사항메뉴실행안됨 모든 영화 다시 보기 월정액 실행안됨 오류없다함리셋동일 회선단말특이사항진단결과기타추가연락처,코로나 이 상무 고객 요청사항 메뉴 실행 안됨 모든 영화 다시 보기 월 정액 실행 안됨 오류 없다 한 리셋 동일 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
리모컨 잘안됨택배배송접수,리모컨 잘 안됨 택배 배송 접수
남일시안내함코로나이상무올레티비수신불로딩중에러뜨면서안됨올인홈정상리셋리부팅아낸함,남일시 안내함 코로나 이 상무 올레티브이 수 신불 로딩 중에 더 뜨면서 안됨 올인 홈 정상리 셋 리 부팅 아내 함
고객요청사항화면이 멈추고 끊김사용시에는  이상 없었는데 월에 로 변경후 부터 잦은 고장으로 불만 심함 빼고 인터넷 선만 시청한다고 함사용수긍 안함꼼꼼하게 점검 요청날씨가 안좋을때마다 끊김회선단말특이사항진단결과셋탑신 정상기타추가연락처,고객 요청사항 화면이 멈추고 끊김 사용 시에는 이상 없었는데 월에로 변경 후부터 잦은 고장으로 불만 심함 빼고 인터넷 선만 시청한다고 함 사용 수긍 안 함 꼼꼼하게 점검 요청 날씨가 안 좋을 때마다 끊김 회선 단말 특이사항 진단 결과 셋탑신 정상기 타 추가 연락처
시수신불외부접수최대한빠른방문요청,시수신 부을 외부 접수 최대한 빠른 방문 요청
코로나이상무재확인필 고객요청사항인터넷 연결오류 뜨면서 시청중 끊김토요일에 한번 점검 받아보셨는데 다시 고장이라함 회선단말특이사항진단결과신 정상 기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 인터넷 연결 오류 뜨면서 시청 중 끊김 토요일에 한 번 점검받아보셨는데 다시 고장이라 함 회선 단말 특이사항 진단 결과 신 정상 기타 추가 연락처
리셋접수시간내외고객요청사항수신불 회선단말특이사항진단결과기타추가연락처,리셋 접수 시간 내외 고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
 오후시는 되나 지니음성인식안됨같은현상으로 월에 교체받았는데 또 안됨 방문희망,오후 시는 되나 지니 음성인식 안됨 같은 현상으로 월에 교체 받았는데 또 안됨 방문 희망
고객요청사항티비 한대 소리가안커짐연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 티브이 한 대 소리가 안 커짐 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
멤버십리셋접수건고객요청사항리셋아웃콜코로나 이상무재확인필일오전시방문티비시청불현재시청가능하나 티비켜면 신없음 뜨서 직원방분요청연락후회선단말특이사항진단결과정상기타추가연락처,멤버십 리셋 접수 건 고객 요청 사하이 리셋 아웃 콜 코로나 이 상무 재확인 필 일이 전시 방문 티브이 시청 부을 현재 시청 가능하나 티브이 켜면 신 없음 떠서 직원 방분 요청 연락 우회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
기술리콜리모컨 작동불 정상 일부 안됨 셋탑 가까운쪽에서 되어 페어링 후 정상사용가능함리모컨,기술 리콜 리모컨 작동 불 정상 일부 안됨 셋탑 가까운 쪽에서 되어 페어링 후 정상 사용 가능함 리모컨
코로나이상무재확인필   방문엔지니어외 다른분 방문요청함 고객요청사항 화질이상   최대한 빠른방문바람 회선단말특이사항 일 시 접수안내 진단결과 리셋동일 기타추가연락처 연락후,코로나 이 상무 재확인 필 방문 엔지니어 외 다른 분 방문 요청함 고객 요청사항 화질 이상 최대한 빠른 방문 바람 회선 단말 특이사항일 시 접수 안내 진단 결과 리셋 동일 기타 추가 연락처 연락 후
리모컨무료배송  박정하 고객요청사항리모컨작동불 모든버튼 건전지교체동 거부 택배배송요청 회선단말특이사항진단결과기타추가연락처,리모컨 무료 배송 박정하 고객 요청사항 리모컨 작동 불 모든 버튼 건전지 교체 동 거부 택배 배송 요청 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
 서비스번  추티  통화자연락처 본  장비회수 연락처  티비해지했고 회수연락처   로 연락후 빠른회수 희망하십니다,서비스 번 추리 통화자 연락처 본 장비 회수 연락처 티브이 해지했고 회수 연락처로 연락 후 빠른 회수 희망하십니다
고객요청사항수신불 연락후 회선단말특이사항진단결과기타추가연락처 인입,고객 요청사항 수신 불 연락 후 회선 단말 특이사항 진단 결과 기타 추가 연락처 인입
코로나이상무고객요청사항티비 대 안됨 켜면 첫 화면만 나오고 채널 이동안됨 리셋해도 동일방문해서 점검요청회선단말특이사항진단결과기타추가연락처,코로나 이 상무 고객 요청사항 티브이 대 안됨 켜면 첫 화면만 나오고 채널 이 동안 됨 리셋해도 동일 방문해서 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋티비 수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋티비 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동이상매장방문안내수긍회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 이상 매장 방문 안 내수 극회 선단 말 특이사항 진단 결과 기타 추가 연락처
차리셋건연락후고객요청사항리셋수신불 회선단말특이사항진단결과기타추가연락처,차 리셋건 연락 후 고객 요청 사상 리셋 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨작동불가택배발송등록시간소요통합설정페어링설정문자전송,리모컨 작동 불가 택배 발송 등록 시간 소요 통합 설정 페어링 설정 문자 전송
기가지니음성인식 반응 느림 연후방,기가 지니 음성인식 반응 느림 연후방
고객요청사항넷플릭스안됨재부팅후정상 회선단말특이사항진단결과기타추가연락처,고객 요청사항 넷플릭스 안됨 재부팅 후 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
시청불  코로나 이상무 재확인필  해ㅑ지 징후 있음 고객요청사항수신불량 회선단말특이사항진단결과정상  셋탑리셋 안내 기타추가연락처인,시청 불 코로나 이 상무 재확인 필해ㅑ지 징후 있음 고객 요청사항 수신 불량 회선단 말이 특이 사항 진단 결과 정상 셋톱 리셋 안내 기타 추가 연락처인
봇코로나 이상무 재확인필 고객요청사항수신불  화면 안나옴   셋탑교체 요청 회선단말특이사항진단결과정상 기타추가연락처인 ,봇코로나 이 상무 재확인 필 고객 요청사항 수신 불 화면 안 나옴 셋탑 교체 요청 회선단 말이 특이 사항 진단 결과 정상 기타 추가 연락처인
멀티룸 중고 교체 설치후 와 선연결 문의 와   케이블로 연결되어 있음 외부입력 변경후 정상,멀티룸 중고 교체 설치 후 와 선 연결 문의 와 케이블로 연결되어 있음 외부 입력 변경 후 정상
코로나이상무재확인필고객요청사항수신 불 회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
봇코로나이상무 재확인필고객요청사항티비 수신불회선단말특이사항진단결과기타추가연락처,봇코로나 이 상 무 재확인 필 고객 요청사항 티브이 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모콘 작동안됨 택배배송,리모컨 작동 안 됨 택배 배송
고객요청사항임의회선 입주 후 티비 선 연결 요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의회 선 입주 후 티브이 선 연결 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
티비 화면에 미개통 상태라고 나온다심다음에 전화해서 고장접수라든지 한다심,티브이 화면에 미 개통 상태라고 나온 다음 다음에 전화해서 고장 접수라든지 한 다음
수신불  잘나오는데 채널이 다른게 나온다심  재송출 장비재부팅  확인해보겠다심,수신 불 잘 나오는데 채널이 다른 게 나온 다음 재송출 장비 재부팅 확인해보겠다 심
최대한빠른방문요청고객요청사항수신불회선단말특이사항진단결과기타추가연락처,최대한 빠른 방문 요청 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불관리자 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 관리자 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필고객요청사항임의수신불리셋안내회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 임의 수신 불 리셋 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨작동불,리모컨 작동 불
고객요청사항대수신불리셋해봤다심연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 대수선 불 리셋해봤다 심 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동불 매장방문한다심 대리인문자발송함 회선단말특이사항진단결과기타추가연락처 인,고객 요청사항 리모컨 작동 불 매장 방문한다 심 대리인 문자 발송함 회선단 말이 특이 사항 진단 결과 기타 추가 연락처인
코로나 이상무재확인필고객요청사항티비시청불정전 이후로 티비 시청이 안 된다고 하심모뎀셋톱 재부팅 해도 동일현상 반복회선단말특이사항진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티브이 시청 불정전 이후로 티브이 시청이 안 된다고 하심 모뎀 셋톱 재부팅 해도 동일 현상 반복회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처
코로나이상무재확인필 고객요청사항수신불량리모컨이상회선단말특이사항진단결과비정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 수신 불량 리모컨 이상 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
리모컨 작동안됨무료 등록함,리모컨 작동 안 됨 무료 등록함
고객요청사항 수신불연후방,고객 요청사항 수신 불연 후방
고객요청사항리모컨 배송회선단말특이사항진단결과기타추가연락처김태희서울특별시 영등포구 영등포로길 층 기가지니개김태희,고객 요청사항 리모컨 배송 회선 단말 특이사항 진단 결과 기타 추가 연락처 김태희 서울특별시 영등포구 영등포로 길 층 기가 지니게 김태희
일시셋탑작동이상셋탑 빨간불 초록불 왔다갔다한다심 전원선재부팅후 동일 코로나이상무,일시 셋탑 작동 이상 셋탑 빨간불 초록 불 왔다 갔다 한다 심 전원 선 재부팅 후 동일 코로나 이상무
고객요청사항 대안됨 화면안나온다함 리셋해봄회선단말특이사항진단결과기타추가연락처,고객 요청사항 대 안됨 화면 안 나온 다함 리셋해 봄 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무고객요청사항대중안방수신불방문해서점검요청회선단말특이사항진단결과기타추가연락처,코로나 이 상무 고객 요청사항 대중 안방 수신 불 방문해서 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항  시청불가 로딩중리셋후 정상 회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불가 로딩 중리 셋 후 정상 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항전원작동불회선단말특이사항진단결과기타추가연락처,고객 요청사항 전원 작동 불회선 단말 특이사항 진단 결과 기타 추가 연락처
 번 해지신청함장비회수는  제주 서귀포시 성산읍 고성리 번지 가동   제주 서귀포시 성산읍 일출로번길  가동 으로 연락후 방문원하십니다연락번 ,번 해지 신청함 장비 회수는 제주 서귀포시 성산읍 고성리 번지 가동 제주 서귀포시 성산읍 일출로 번길 가동으로 연락 후 방문 원하십니다 연락 번
리모컨 작동불가  연락후방문,리모컨 작동 불가 연락 후 방문
멀고객요청사항연후방 사이 방문요청선정리요청옥상에서 댁으로 들어가는 얇은  인입선이 고객이 여닫는 창문쪽으로 나있다심 댁내 공사를 하는데 큰 불편 있었다며 불만셋탑은 위치변경 얇은 인입선만 위치를 조정해 불편 최소화해달라심코로나이상무회선단말특이사항진단결과정상기타추가연락처,멀고 객 요청사항 연후방 사이 방문 요청 선 정리 요청 옥상에서 댁으로 들어가는 얇은 인 입선이 고객이 여닫는 창문 쪽으로 나있다 심 댁 내 공사를 하는데 큰 불편 있었다며 불만 셋탑은 위치 변경 얇은 인 입선만 위치를 조정해 불편 최소화해달라 심코로나 이 상무 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항세탑 수신불 전원켜졌다꺼졌다한다심회선단말특이사항진단결과기타추가연락처,고객 요청사항 세톱 수신 불 전 원 켜졌다 꺼졌다 한다 김회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항인터넷연결오류 반복된다고 점검요청 장비리셋하면 사용되나 불편하다고 전체점검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 인터넷 연결 오류 반복된다고 점검 요청 장비 리셋하면 사용되나 불편하다고 전체 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
오후회선구분요청함수확인요청함임의회선접수함,오후 회선 구분 요청함 수확인 요청함 임의 회 선 접수함
인리모콘작동안됨여러번눌러야된다함택배로올림,인리모콘 작동 안 됨 여러 번 눌러야 된다 한 택배로 올림
리모컨작동이상 택배요청하여 등록 리모컨,리모컨 작동 이상 택배 요청하여 등록 리모컨
고객요청사항리모콘 고장 일부버튼안됨 리셋안내후 보류회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 고장 일부 버튼 안됨 리셋 안내 후 보류 회선 단말 특이사항 진단 결과 기타 추가 연락처
화면멈춤 연후방 업실패 회선단말특이사항진단결과기타추가연락처,화면 멈춤 연 후방 업 실패 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필고객요청사항수신불리셋 접수 후에도 사용불가리셋접수회선단말특이사항진단결과비정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 수신 불 리셋 접수 후에도 사용 불가리 셋 접수회 선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
리모컨채널안됨 리셋 무료택배 ,리모컨 채널 안됨 리셋 무료 택배
기가지니  사용중코로나이상무재확인필 고객요청사항기가지니 사용중전원버튼고장남회선단말특이사항진단결과정상기타추가연락처인,기가 지니 사용 중 코로나 이 상무 재확인 필 고객 요청사항기가 지니 사용 중 전원 버튼 고 장남 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처인
고객요청사항화질이상시청중깨짐셋탑교체요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 화질 이상 시청 중 깨짐 셋탑 교체 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 시시적으로 작동 되었다 안되었다 반복 함 택배 배송 요청하여  리모컨 배송 요청 등록 함리모컨,리모컨 시 시적으로 작동되었다 안 되었다 반복함 택배 배송 요청하여 리모컨 배송 요청 등록함 리모컨
고객요청사항리셋접수시간내외리콜안내수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 시간 내 외 리콜 안내 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티비수신불 연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 티브이 수 신불 연후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항임의 셋탑전원전체적으로 점검도요청회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 임의 셋탑 전원 전체적으로 점검도 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
독촉심빠른방문요청하심고객요청사항수시리모컨작동불임의회선단말특이사항진단결과기타추가연락처,독촉 심 빠른 방문 요청하심 고객 요청사항 수시 리모컨 작동 불임의 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무 재확인필고객요청사항티비 수신불 인터넷 접불회선단말특이사항 임의접수진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티브이 수신 불 인터넷 접물 회선 단말 특이사항 임의 접수 진단 결과 기타 추가 연락처
월 일 리셋접수수신불 로딩중나옴,월 일 리셋 접수 수신 불 로딩 중 나옴
고객요청사항 임의 시청불 코로나무 미리연락요 회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의 시청 불 코로 나무 미리 연락요 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불기가지니전원안켜짐어댑터확인회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불기가 지니 전원 안 켜짐 어댑터 확인 회선 단말 특이사항 진단 결과 기타 추가 연락처
봇일리셋접수고객요청사항넷플릭스실행안됨전체리셋회선단말특이사항진단결과포트정상기타추가연락처인입,봇일 리셋 접수 고객 요청사항 넷플릭스 실행 안됨 전체 리셋 회선 단말 특이사항 진단 결과 포트 정상기 타 추가 연락처인 입
수신불리셋후정상사용됨,수신 불 리셋 후 정상 사용됨
고객요청사항리모컨작동불외부입력버튼이 눌려서 안나온다고함안내안내후발송회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 부을 외부 입력 버튼이 눌려서 안 나온다고 함안 내 안내 후 발송 회선 단말 특이사항 진단 결과 기타 추가 연락처
일오전지니전원불은안들어옴재부팅후동일증상,일 오전 지니 전원 불은 안 들어 옴 재부팅 후 동일 증상
고객요청사항화면깨짐연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 화면 깨짐 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
 리모컨작동불량 페어링설정후 정상사용됨,리모컨 작동 불량 페어링 설정 후 정상 사용됨
리모컨 배송요청등록,리모컨 배송 요청 등록
리모컨 작동불가  여러번 눌러야 작동된다고함  연락후방문,리모컨 작동 불가 여러 번 눌러야 작동된다고 함 연락 후 방문
  리모컨 고장으로 직영점 내방 했으나 제고 없다고 안내 받았다고하심 배송 접수함  ,리모컨 고장으로 직영점 내방했으나 제고 없다고 안내받았다고 하심 배송 접수함
현재 정상  추후 재연락 주시겠다심,현재 정상 추후 재연락 주시겠다 심
코로나이상무재확인필고객요청사항리모컨작동불셋탑작동이상엔지니어 방문요청회선단말특이사항진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 리모컨 작동 뿔 셋 탑 작동 이상 엔지니어 방문 요청회 선 단말 특이사항 진단 결과 정상기 타 추가 연락처
대리신고오후시 안됨 인터넷오류뜸 경로당총무님접수 문열려있고 문열면 바로 옆이라함 문의사항 폰으로 요청하심,대리신고 오후 시 안됨 인터넷 오류뜸 경로당 총무님 접수 문 열려 있고 문 열면 바로 옆이라 함 문의사항 폰으로 요청하심
임의회선리셋안내코로나안내,임 의회서 리셋 안내 코로나 안내
고객요청사항리모컨 넷플릭실행불제조사리모컨작동안됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 넷플릭 실행 불 제조사 리모컨 작동 안 됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수  화질이상화면 픽셀깨져서나옴회선단말특이사항진단결과기타추가연락처,리셋 접수 화질 이상 화면 픽셀 깨져서 나옴 회선 단말 특이사항 진단 결과 기타 추가 연락처
  시 셋탑작동이상,시 셋탑 작동 이상
고객요청사항기가지니 리모컨 작동불 셋탑 교체후 음성검색이 안됨 리모컨문제인지 엔지니어 직접 통화하신뒤 고장접수하라고 안내받음 코로나이상무 회선단말특이사항진단결과셋탑 정상기타추가연락처,고객 요청사항기가 지니 리모컨 작동 불 셋탑 교체 후 음성검색이 안됨 리모컨 문제인지 엔지니어 직접 통화하신 뒤 고장 접수하라고 안내받음 코로나 이상무 회선 단말 특이사항 진단 결과 셋탑 정상기 타 추가 연락처
고객요청사항넷플릭스 잦은시청불 셋탑교체해도 동일하다며 내방해서 교체요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 넷플릭스 잦은 시청 불 셋탑 교체해도 동일하다며 내 반해서 교체 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
최대한빠른점검요시고객요청사항수신불댁내배선점검필요뜸케이블다운포트리셋 회선단말특이사항진단결과기타추가연락처인,최대한 빠른 점검 요시 고객 요청사항 수신 불대 내 배선 점검 필요 뜸 케이블 다운 포트 리셋 회선단 말이 특이 사항 진단 결과 기타 추가 연락처인
리셋접수건 수신불 기  업 생략,리셋 접수건 수신 불 기 업 생략
멀지니전원을 끄면 다른방에 연결되어있는 티비까지 꺼진다고 함저번에 오신분말고 남경석엔지니어라고함 다른분방문요청  무슨기계를 달고 갔는데 그 이후부터 티비 자주끊김불만지니 넷플안됨  티비대사용중 전체적 점검요청고객요청사항회선단말특이사항진단결과기타추가연락처,멀지니 전원을 끄면 다른 방에 연결되어 있는 티브이까지 꺼진다고 함 저번에 오신 분 말고 남경석 엔지니어라고 함 다른 분 방문 요청 무슨 기계를 달고 갔는데 그 이후부터 티브이 자주 끊김 불만 지니 넷플 안됨 티비대 사용 중 전체적 점검 요청 고객 요청사항 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항층수신중끊김 장비리셋동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 층수 신중 끊김 장비니 셋 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동불택배발송회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 부을 택배 발송 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 기가지니  전원 안들어옴 최대한 빠른 방문요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 기가 지니 전원 안 들어옴 최대한 빠른 방문 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동불 방향카안됨 장비리셋안내 없음 무료배송안내 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불 방향 가 안 됨 장비니 셋 안내 없음 무료배송 안내 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항 기가지니 리모컨작동불 외부입력전환버튼이 안된다고함정상루컴스 통합설정안내햇으나 해봤다고 상담거부 방문해서  점검요청 리모컨회선단말특이사항진단결과기타추가연락처,고객 요청사항 기가 지니 리모컨 작동 불 외부 입력 전환 버튼이 안 된다고 함정상 루컴즈 통합 설정한 내 했으나 해봤다고 상담 거부 방문해서 점검 요청 리모컨 회선 단말 특이사항 진단 결과 기타 추가 연락처
월 일 리셋접수수신불,월 일 리셋 접수 수신 불
층주인집  신미약뜸,청주인 집 신미 약음
고객요청사항  리셋접수 수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 리셋 접수 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항코로나이상무방문전 재확인필 연후방회선단말특이사항 리모컨작동불 지니셋탑리모컨불전혀반응무 다른지니 리모컨으로도 작동불진단결과기타추가연락처,고객 요청사항 코로나 이 상무 방문 전 재확인 필 연 후방 회선 단말 특이사항 리모컨 작동 불 지니 셋탑 리모컨 불전 혀 반응 무 다른 지니 리모컨으로도 작동 불지는 단 결과 기타 추가 연락처
고객요청사항코로나이상무재확인필 리셋접수건 수신불 위성신 미약 회선단말특이사항진단결과기타추가연락처,고객 요청사항 코로나 이 상무 재확인 필 리셋 접수건 수신 불 위성신 미약 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
리모컨무료택배요청 ,리모컨 무료 택배 요청
리모컨작동불  전원셋탑전원버튼등 다안됨 불이 들어오는게있고 안들어오는버튼있음 건전지 교체해도 동일 택배요청 에 고장교체 리모컨,리모컨 작동 불 전원 셋탑 전원 버튼 등 다 안 됨 불이 들어오는 게 있고 안 들어오는 버튼 있음 건전지 교체해도 동일 택배 요청에 고 장 교체 리모컨
오후시청불미납고객,오후 시청 부을 미납 고객
코로나이상무재확인필고객요청사항셋탑불량다회선가입 전체점검요청 셋탑작동안됨이전방문했던 엔지니어가 단말교체못함 장비가 없어서 교체못함 꼼꼼한점검부탁립니다회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 셋탑 불량 두 회선 가입 전체 점검 요청 셋탑 작동 안 됨이 전 방문했던 엔지니어가 단말 교체 못함 장비가 없어서 교체 못함 꼼꼼한 점검 부 탁립니 다 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수건  일부채널 수신불 기  업 생략,리셋 접수건 일부 채널 수신 불 기 업 생략
고객요청사항리모컨버튼뻑뻑하게잘안눌림방문교체요청연락후방문 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 버튼 뻑뻑하게 잘 안 눌림 방문 교체 요청 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항티비끊김현상회선확인요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 티브이 끊김 현상 회선 확인 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨 시시 작동불 현재는 정상 건전지 교체함 오래 사용했다고 리모컨 교체 요청 택배요청 등록 리모컨,리모컨 시 시 작동 불 현재는 정상 건전지 교체함 오래 사용했다고 리모컨 교체 요청 택배 요청 등록 리모컨
고객요청사항분리후 시청불가 리셋해도동일 회선단말특이사항진단결과기타추가연락처,고객 요청사항 분리 후 시청 불가 리셋해도 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
